datetime,count
2011-01-01 00:00:00,21.4862
2011-01-01 01:00:00,0.061608166
2011-01-01 02:00:00,0.0
2011-01-01 03:00:00,2.0390084
2011-01-01 04:00:00,2.5539515
2011-01-01 05:00:00,10.1010685
2011-01-01 06:00:00,33.65048
2011-01-01 07:00:00,109.71852
2011-01-01 08:00:00,248.73404
2011-01-01 09:00:00,145.41606
2011-01-01 10:00:00,61.365913
2011-01-01 11:00:00,59.720505
2011-01-01 12:00:00,74.97324
2011-01-01 13:00:00,81.13331
2011-01-01 14:00:00,78.560425
2011-01-01 15:00:00,85.733635
2011-01-01 16:00:00,94.700325
2011-01-01 17:00:00,197.9305
2011-01-01 18:00:00,190.88203
2011-01-01 19:00:00,124.664665
2011-01-01 20:00:00,57.29012
2011-01-01 21:00:00,47.162086
2011-01-01 22:00:00,30.009321
2011-01-01 23:00:00,34.840115
2011-01-02 00:00:00,16.804552
2011-01-02 01:00:00,4.0521126
2011-01-02 02:00:00,6.3273354
2011-01-02 03:00:00,9.11498
2011-01-02 04:00:00,0.0
2011-01-02 06:00:00,35.276524
2011-01-02 07:00:00,112.16155
2011-01-02 08:00:00,238.43512
2011-01-02 09:00:00,115.6263
2011-01-02 10:00:00,43.69137
2011-01-02 11:00:00,46.93508
2011-01-02 12:00:00,57.369442
2011-01-02 13:00:00,82.57557
2011-01-02 14:00:00,53.594162
2011-01-02 15:00:00,27.381971
2011-01-02 16:00:00,58.860493
2011-01-02 17:00:00,154.08492
2011-01-02 18:00:00,142.915
2011-01-02 19:00:00,105.07424
2011-01-02 20:00:00,47.352867
2011-01-02 21:00:00,41.04029
2011-01-02 22:00:00,9.96939
2011-01-02 23:00:00,22.009436
2011-01-03 00:00:00,3.9702702
2011-01-03 01:00:00,19.236786
2011-01-03 04:00:00,7.1781697
2011-01-03 05:00:00,0.46967688
2011-01-03 06:00:00,6.318948
2011-01-03 07:00:00,0.0
2011-01-03 08:00:00,0.0
2011-01-03 09:00:00,0.0
2011-01-03 10:00:00,34.886917
2011-01-03 11:00:00,66.55546
2011-01-03 12:00:00,95.963524
2011-01-03 13:00:00,102.916565
2011-01-03 14:00:00,89.60596
2011-01-03 15:00:00,89.81743
2011-01-03 16:00:00,94.25075
2011-01-03 17:00:00,45.31278
2011-01-03 18:00:00,37.737507
2011-01-03 19:00:00,17.747263
2011-01-03 20:00:00,12.957808
2011-01-03 21:00:00,10.941251
2011-01-03 22:00:00,18.758348
2011-01-03 23:00:00,2.1491895
2011-01-04 00:00:00,18.291101
2011-01-04 01:00:00,28.35843
2011-01-04 02:00:00,25.655178
2011-01-04 04:00:00,11.855014
2011-01-04 05:00:00,0.0
2011-01-04 06:00:00,0.0
2011-01-04 07:00:00,0.0
2011-01-04 08:00:00,0.0
2011-01-04 09:00:00,0.0
2011-01-04 10:00:00,41.015854
2011-01-04 11:00:00,61.56025
2011-01-04 12:00:00,85.98805
2011-01-04 13:00:00,94.9879
2011-01-04 14:00:00,87.663246
2011-01-04 15:00:00,66.161026
2011-01-04 16:00:00,76.228226
2011-01-04 17:00:00,60.32256
2011-01-04 18:00:00,39.1817
2011-01-04 19:00:00,25.732529
2011-01-04 20:00:00,14.965048
2011-01-04 21:00:00,7.5483217
2011-01-04 22:00:00,1.4675199
2011-01-04 23:00:00,1.2744359
2011-01-05 00:00:00,16.11637
2011-01-05 01:00:00,18.319551
2011-01-05 02:00:00,0.67226017
2011-01-05 04:00:00,6.9018946
2011-01-05 05:00:00,15.212412
2011-01-05 06:00:00,6.123808
2011-01-05 07:00:00,48.991447
2011-01-05 08:00:00,141.7165
2011-01-05 09:00:00,66.93187
2011-01-05 10:00:00,32.199604
2011-01-05 11:00:00,42.85248
2011-01-05 12:00:00,44.08354
2011-01-05 13:00:00,47.127296
2011-01-05 14:00:00,51.2518
2011-01-05 15:00:00,54.041935
2011-01-05 16:00:00,66.70896
2011-01-05 17:00:00,177.58778
2011-01-05 18:00:00,166.19467
2011-01-05 19:00:00,114.11627
2011-01-05 20:00:00,69.29168
2011-01-05 21:00:00,57.78366
2011-01-05 22:00:00,31.258116
2011-01-05 23:00:00,25.383549
2011-01-06 00:00:00,13.788788
2011-01-06 01:00:00,8.490492
2011-01-06 02:00:00,0.0
2011-01-06 04:00:00,0.0
2011-01-06 05:00:00,5.2578588
